date,aod,pm25,Temp_Max,Temp_Min,Humidity,Precipitation,Wind_Speed,SLP,U10M,V10M,TQV,TS
4/2/2023,0.082000004,49.333333333333336,28.4,16.3,73,0,17.3,1006.9860225000001,1.2933714738833333,-1.626244587,25.051118370833333,298.04358670833335
4/4/2023,0.233000011,35,28.3,17.3,64,0,16.9,1008.9575450000001,1.9798160633333335,-2.805497259,21.027615745833334,298.3422787916667
4/5/2023,0.303000014,43.916666666666664,30.3,16,53,0,16.2,1009.6414866666668,1.5250674451333335,-2.540350338,15.560664454166668,298.45503241666665
4/6/2023,0.295000014,33.916666666666664,31.8,16.1,42,0,16.8,1011.958473,1.5300029836666666,-3.709714438,17.441024266666666,298.81046295833335
4/7/2023,0.711000034,47.916666666666664,31.9,16.9,37,0,16.5,1013.2833454166666,2.2499836902083334,-3.312027067,10.696987995833332,298.1773314
4/8/2023,0.499000024,68.83333333333333,32.4,17.1,31,0,17.3,1013.9177866666668,1.726750951,-2.269612149,9.181336545833334,298.1890144
4/9/2023,0.582000028,85.41666666666667,33.6,17.9,28,0,16.6,1012.6000033333333,1.2075750652916668,-2.131176604,10.65669978,299.35727058333333
4/10/2023,0.618000029,84.375,33.9,19.2,28,0,16.9,1011.031831,1.8981105285458335,-2.630280753,12.33417623,299.56605537499996
4/11/2023,0.492000023,123.58333333333333,36.7,19.3,27,0,24.9,1010.4983766666668,2.8018740660416666,-2.760170783,20.23142998,301.72276691666667
4/12/2023,0.64000003,74.41666666666667,36.9,22.7,27,0,23.2,1009.5826495833334,2.4292183565416665,-2.4903179,26.59397339583333,303.00745645833337
4/13/2023,1.01300005,96.45833333333333,37.8,21.4,28,0,19.6,1007.9854583333334,1.5672865509999998,-2.665005425,16.228483941666667,302.7002933
4/14/2023,0.853000041,88.08333333333333,37.8,21.4,27,0,17,1007.1294379166667,0.858492529,-1.031650506,13.354752858333333,302.4987399166667
4/16/2023,0.21000001,70.70833333333333,39.2,23.6,26,0,18.2,1005.1195912500001,2.626839578291667,-1.059345665,24.724338454166666,305.7139829
